"","age","total_children","feelings_life","sex","place_birth_canada","marital_status","vis_minority","citizenship_status","education","average_hours_worked","self_rated_health","self_rated_mental_health","language_home","language_knowledge","occupation","income_respondent"
"1887",45.1,2,10,"Female","Born outside Canada","Married","Visible minority","By naturalization","University certificate or diploma below the bachelor's level","30.0 to 40.0 hours","Good","Very good","Non-official languages","Both English and French","Business, finance, and administration occupations","3"
"1889",20.7,0,8,"Male","Born outside Canada","Single, never married","Visible minority","By naturalization","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Good","Good","Non-official languages","English only","Sales and service occupations","1"
"1890",38.3,1,10,"Male","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","40.1 to 50.0 hours","Good","Very good","English","English only","Management occupations","3"
"1892",29.8,2,6,"Male","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","50.1 hours and more","Good","Very good","English","English only","Management occupations","2"
"1893",22.1,0,8,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Very good","English","English only","Management occupations","2"
"1895",55.3,3,8,"Male","Born in Canada","Separated","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Good","Very good","English","English only","Natural and applied sciences and related occupations","1"
"1897",26.1,0,8,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","40.1 to 50.0 hours","Good","Good","French","Both English and French","Occupations in education, law and social, community and ...","2"
"1898",52.7,2,8,"Female","Born in Canada","Widowed","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Very good","French","French only","Business, finance, and administration occupations","4"
"1902",61.7,3,10,"Male","Born in Canada","Married","Not a visible minority","By birth","University certificate or diploma below the bachelor's level","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Management occupations","3"
"1904",42.3,2,8,"Male","Born in Canada","Married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","40.1 to 50.0 hours","Very good","Very good","English","English only","Sales and service occupations","2"
"1905",71.8,2,10,"Female","Born in Canada","Divorced","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","0.1 to 29.9 hours","Excellent","Excellent","English","Both English and French","Business, finance, and administration occupations","3"
"1907",32.8,1,10,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","40.1 to 50.0 hours","Very good","Excellent","English","English only","Occupations in manufacturing and utilities","5"
"1909",46.7,2,6,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Very good","Very good","English","English only","Natural resources, agriculture and related production oc...","2"
"1911",65,2,8,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Very good","English","Both English and French","Business, finance, and administration occupations","3"
"1913",68.7,0,8,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","0.1 to 29.9 hours","Good","Very good","English","English only","Sales and service occupations","2"
"1917",30.6,4,10,"Female","Born in Canada","Divorced","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Excellent","Excellent","English","English only","Sales and service occupations","1"
"1918",51.4,2,7,"Female","Born outside Canada","Married","Not a visible minority","By naturalization","College, CEGEP or other non-university certificate or di...","0.1 to 29.9 hours","Good","Excellent","English","English only","Health occupations","3"
"1922",31.8,3,8,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Good","Good","English","English only","Business, finance, and administration occupations","2"
"1923",32.2,0,9,"Male","Born in Canada","Married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Occupations in education, law and social, community and ...","5"
"1924",65.8,3,7,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Good","Very good","English","English only","Occupations in art, culture, recreation and sport","1"
"1926",62.9,3,10,"Male","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Excellent","English","Both English and French","Trades, transport and equipment operators and related oc...","5"
"1927",34.6,1,5,"Male","Born outside Canada","Married","Visible minority","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Good","Very good","English","English only","Natural and applied sciences and related occupations","4"
"1928",17.8,0,9,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Less than high school diploma or its equivalent","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Trades, transport and equipment operators and related oc...","1"
"1929",61.8,2,9,"Male","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Excellent","English","English only","Management occupations","4"
"1931",22.3,0,7,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Very good","English","English only","Sales and service occupations","1"
"1932",28.8,2,7,"Male","Born in Canada","Married","Visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Excellent","Excellent","Non-official languages","Both English and French","Trades, transport and equipment operators and related oc...","1"
"1933",51.1,2,8,"Male","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Very good","English","English only","Business, finance, and administration occupations","2"
"1934",39.1,1,10,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Less than high school diploma or its equivalent","50.1 hours and more","Excellent","Excellent","English","English only","Trades, transport and equipment operators and related oc...","6"
"1937",52.2,4,7,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0.1 to 29.9 hours","Fair","Good","English","Both English and French","Trades, transport and equipment operators and related oc...","3"
"1939",22.8,0,6,"Male","Born outside Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Excellent","Good","English","English only","Sales and service occupations","1"
"1940",48.9,2,9,"Male","Born in Canada","Married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","50.1 hours and more","Excellent","Very good","English","English only","Natural and applied sciences and related occupations","6"
"1941",32.9,0,8,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Management occupations","4"
"1943",59.8,0,8,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Fair","Very good","English","English only","Business, finance, and administration occupations","4"
"1944",35,2,7,"Male","Born in Canada","Married","Not a visible minority","By birth","Less than high school diploma or its equivalent","30.0 to 40.0 hours","Good","Very good","English","English only","Sales and service occupations","1"
"1945",37,1,8,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Very good","Very good","English","English only","Sales and service occupations","4"
"1950",28.5,0,7,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Fair","English","English only","Health occupations","1"
"1955",58.8,2,7,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","Don't know","Good","Good","English","English only","Occupations in education, law and social, community and ...","3"
"1958",58.6,2,10,"Female","Born outside Canada","Living common-law","Visible minority","By naturalization","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Don't know","Very good","English and non-official language","English only","Occupations in education, law and social, community and ...","2"
"1959",65.4,2,8,"Female","Born in Canada","Widowed","Not a visible minority","By birth","Less than high school diploma or its equivalent","30.0 to 40.0 hours","Very good","Very good","French","French only","Sales and service occupations","2"
"1961",59.7,3,5,"Male","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","0.1 to 29.9 hours","Good","Good","English","English only","Management occupations","2"
"1962",44.5,0,8,"Female","Born outside Canada","Living common-law","Not a visible minority","By naturalization","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Fair","Very good","Non-official languages","English only","Sales and service occupations","1"
"1964",64.3,3,10,"Male","Born in Canada","Married","Not a visible minority","By birth","Less than high school diploma or its equivalent","30.0 to 40.0 hours","Fair","Excellent","English","English only","Trades, transport and equipment operators and related oc...","3"
"1965",35.8,3,9,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","Don't know","Very good","Very good","English","Both English and French","Natural resources, agriculture and related production oc...","3"
"1966",16.1,0,8,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Less than high school diploma or its equivalent","0.1 to 29.9 hours","Very good","Good","French","French only","Sales and service occupations","1"
"1967",64.3,0,5,"Female","Born in Canada","Widowed","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","50.1 hours and more","Very good","Good","English","English only","Occupations in manufacturing and utilities","4"
"1968",34.6,2,10,"Male","Born outside Canada","Living common-law","Not a visible minority","By naturalization","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Very good","French","Both English and French","Natural and applied sciences and related occupations","3"
"1970",51.2,2,9,"Male","Born in Canada","Married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Excellent","Excellent","English and French","Both English and French","Management occupations","6"
"1971",38.1,3,8,"Male","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Good","Fair","English","English only","Sales and service occupations","2"
"1972",57.2,4,3,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","Less than high school diploma or its equivalent","40.1 to 50.0 hours","Poor","Poor","English","English only","Management occupations","1"
"1973",29.4,1,9,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","50.1 hours and more","Very good","Very good","English","English only","Sales and service occupations","6"
"1976",61.2,2,9,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Very good","French","French only","Business, finance, and administration occupations","3"
"1981",40.8,0,10,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","40.1 to 50.0 hours","Good","Good","English","English only","Business, finance, and administration occupations","3"
"1984",32,1,10,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Very good","English","English only","Sales and service occupations","1"
"1985",27.3,0,7,"Female","Born outside Canada","Single, never married","Visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Excellent","Excellent","Non-official languages","English only","Health occupations","2"
"1987",36.4,3,3,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","University certificate or diploma below the bachelor's level","30.0 to 40.0 hours","Poor","Poor","French","French only","Business, finance, and administration occupations","3"
"1990",71.1,2,10,"Female","Born outside Canada","Divorced","Not a visible minority","By naturalization","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Excellent","English","English only","Sales and service occupations","2"
"1991",61.7,3,10,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Excellent","English","English only","Business, finance, and administration occupations","1"
"1992",42.7,2,8,"Female","Born in Canada","Married","Visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Good","Excellent","English and French","Both English and French","Sales and service occupations","4"
"1993",36.4,1,10,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Very good","Excellent","English","English only","Sales and service occupations","2"
"1996",54.2,2,10,"Female","Born in Canada","Married","Not a visible minority","By birth","Less than high school diploma or its equivalent","0.1 to 29.9 hours","Very good","Very good","English","English only","Sales and service occupations","1"
"1997",53.5,5,7,"Male","Born in Canada","Divorced","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Very good","Very good","English","English only","Occupations in art, culture, recreation and sport","1"
"1998",57.5,0,10,"Male","Born in Canada","Divorced","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Sales and service occupations","1"
"2000",50.3,0,10,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0.1 to 29.9 hours","Excellent","Excellent","English and French","Both English and French","Occupations in education, law and social, community and ...","1"
"2001",33.8,1,10,"Female","Born outside Canada","Single, never married","Visible minority","By naturalization","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Health occupations","2"
"2002",30.3,1,9,"Male","Born in Canada","Married","Not a visible minority","By birth","University certificate or diploma below the bachelor's level","30.0 to 40.0 hours","Excellent","Very good","English","English only","Natural and applied sciences and related occupations","4"
"2003",19.8,0,8,"Female","Born outside Canada","Single, never married","Visible minority","By naturalization","College, CEGEP or other non-university certificate or di...","0.1 to 29.9 hours","Very good","Very good","Non-official languages","Both English and French","Occupations in education, law and social, community and ...","1"
"2005",52.9,0,10,"Male","Born in Canada","Separated","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Excellent","Very good","French","French only","Occupations in manufacturing and utilities","2"
"2007",47.3,4,9,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Good","Excellent","English","Both English and French","Business, finance, and administration occupations","3"
"2008",51.5,0,9,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Excellent","Excellent","French","Both English and French","Natural and applied sciences and related occupations","3"
"2010",46.5,2,8,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Very good","English","English only","Management occupations","3"
"2012",37.2,0,7,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Fair","Good","English","English only","Sales and service occupations","2"
"2014",55.3,0,8,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Very good","English and non-official language","English only","Natural and applied sciences and related occupations","4"
"2015",51.4,2,9,"Male","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Very good","English and French","Both English and French","Sales and service occupations","2"
"2016",62.2,2,7,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0.1 to 29.9 hours","Good","Very good","English","English only","Occupations in education, law and social, community and ...","1"
"2020",52.6,2,8,"Male","Born outside Canada","Divorced","Not a visible minority","By naturalization","Less than high school diploma or its equivalent","40.1 to 50.0 hours","Very good","Good","English","English only","Trades, transport and equipment operators and related oc...","3"
"2022",46.6,3,7,"Male","Born in Canada","Divorced","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Good","English","English only","Trades, transport and equipment operators and related oc...","4"
"2023",26.3,0,10,"Female","Born in Canada","Living common-law","Visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Very good","English","Both English and French","Business, finance, and administration occupations","1"
"2029",57,0,5,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Less than high school diploma or its equivalent","30.0 to 40.0 hours","Poor","Fair","English","English only","Trades, transport and equipment operators and related oc...","3"
"2032",36.8,0,7,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","40.1 to 50.0 hours","Very good","Excellent","English","English only","Sales and service occupations","2"
"2033",62.3,3,9,"Female","Born in Canada","Married","Not a visible minority","By birth","University certificate or diploma below the bachelor's level","30.0 to 40.0 hours","Excellent","Good","English and French","Both English and French","Business, finance, and administration occupations","3"
"2036",48,3,8,"Male","Born outside Canada","Married","Visible minority","By naturalization","University certificate or diploma below the bachelor's level","30.0 to 40.0 hours","Very good","Very good","English","English only","Natural and applied sciences and related occupations","4"
"2038",66.2,3,10,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0.1 to 29.9 hours","Very good","Excellent","English","English only","Sales and service occupations","4"
"2039",64,4,8,"Male","Born in Canada","Married","Not a visible minority","By birth","Trade certificate or diploma","40.1 to 50.0 hours","Fair","Very good","English","English only","Trades, transport and equipment operators and related oc...","3"
"2040",33.8,2,8,"Female","Born outside Canada","Married","Not a visible minority","By naturalization","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Good","Excellent","English and non-official language","English only","Business, finance, and administration occupations","4"
"2041",65.8,1,9,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Very good","English and French","Both English and French","Business, finance, and administration occupations","3"
"2042",31.3,0,7,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0.1 to 29.9 hours","Good","Very good","English","English only","Business, finance, and administration occupations","4"
"2043",49.8,2,8,"Female","Born in Canada","Married","Visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Very good","English","English only","Business, finance, and administration occupations","1"
"2046",29,1,9,"Male","Born in Canada","Married","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Good","Very good","English","English only","Trades, transport and equipment operators and related oc...","3"
"2047",47.8,2,10,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Excellent","Excellent","French","French only","Occupations in art, culture, recreation and sport","2"
"2049",53.9,2,9,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Excellent","English","English only","Trades, transport and equipment operators and related oc...","3"
"2054",17.7,0,5,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Less than high school diploma or its equivalent","0.1 to 29.9 hours","Very good","Good","English","English only","Sales and service occupations","1"
"2055",33.3,0,5,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Good","Good","French","French only","Sales and service occupations","2"
"2062",46.7,2,10,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Sales and service occupations","2"
"2063",32.7,0,8,"Female","Born in Canada","Married","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Good","Good","English","English only","Sales and service occupations","2"
"2064",27.8,0,8,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Good","Good","French","French only","Business, finance, and administration occupations","2"
"2065",30.2,0,5,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Good","English","English only","Sales and service occupations","2"
"2067",55.9,3,8,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","40.1 to 50.0 hours","Excellent","Excellent","French","French only","Occupations in manufacturing and utilities","1"
"2069",42,0,5,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Fair","Fair","French","French only","Sales and service occupations","3"
"2071",47.3,2,10,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Excellent","English","English only","Business, finance, and administration occupations","2"
"2074",26.7,2,8,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Excellent","English","English only","Sales and service occupations","2"
"2075",52.9,1,9,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","50.1 hours and more","Good","Good","French","Both English and French","Sales and service occupations","6"
"2078",42.8,2,9,"Male","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","50.1 hours and more","Good","Very good","English","English only","Management occupations","6"
"2079",63.3,3,8,"Female","Born in Canada","Separated","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","0.1 to 29.9 hours","Fair","Fair","English","English only","Occupations in education, law and social, community and ...","2"
"2081",56.2,0,8,"Male","Born outside Canada","Single, never married","Visible minority","By naturalization","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Good","Non-official languages","English only","Business, finance, and administration occupations","3"
"2082",59.6,2,8,"Female","Born outside Canada","Married","Don't know","By naturalization","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Good","Good","English and non-official language","English only","Occupations in manufacturing and utilities","2"
"2083",50.7,3,10,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Excellent","English","English only","Sales and service occupations","2"
"2086",72,1,10,"Female","Born in Canada","Divorced","Not a visible minority","By birth","Less than high school diploma or its equivalent","0.1 to 29.9 hours","Excellent","Very good","English","English only","Sales and service occupations","3"
"2087",55.6,4,10,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","Less than high school diploma or its equivalent","0.1 to 29.9 hours","Very good","Very good","French","French only","Sales and service occupations","1"
"2088",34.6,1,6,"Male","Born outside Canada","Married","Visible minority","By naturalization","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Good","English","English only","Trades, transport and equipment operators and related oc...","3"
"2089",44.4,2,8,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Good","Good","French","Both English and French","Health occupations","4"
"2091",26.1,0,10,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","40.1 to 50.0 hours","Very good","Very good","English","English only","Health occupations","3"
"2092",20,0,9,"Male","Born in Canada","Single, never married","Visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Very good","Good","English and non-official language","English only","Sales and service occupations","1"
"2094",50.9,4,9,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Very good","French","French only","Business, finance, and administration occupations","4"
"2095",34.7,0,9,"Female","Born outside Canada","Married","Visible minority","By naturalization","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Very good","English","English only","Health occupations","1"
"2097",77.4,7,7,"Female","Born outside Canada","Widowed","Visible minority","By naturalization","College, CEGEP or other non-university certificate or di...","0.1 to 29.9 hours","Very good","Very good","English","English only","Occupations in education, law and social, community and ...","1"
"2099",65.1,0,7,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Very good","English","Both English and French","Business, finance, and administration occupations","3"
"2100",47.5,1,10,"Male","Born outside Canada","Married","Visible minority","By naturalization","University certificate or diploma below the bachelor's level","50.1 hours and more","Excellent","Excellent","English","English only","Management occupations","4"
"2101",22.5,0,9,"Female","Born in Canada","Single, never married","Visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Excellent","Good","English","English only","Occupations in education, law and social, community and ...","1"
"2103",21.8,0,10,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","0.1 to 29.9 hours","Excellent","Excellent","French","Both English and French","Occupations in education, law and social, community and ...","1"
"2106",35.8,1,8,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Excellent","Very good","English","English only","Business, finance, and administration occupations","2"
"2107",24.2,0,10,"Male","Born in Canada","Single, never married","Visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Excellent","Excellent","English and non-official language","English only","Sales and service occupations","2"
"2108",56.6,4,8,"Female","Born in Canada","Married","Not a visible minority","By birth","University certificate or diploma below the bachelor's level","0.1 to 29.9 hours","Very good","Very good","English","English only","Health occupations","4"
"2109",33.9,2,10,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Excellent","French","Both English and French","Business, finance, and administration occupations","3"
"2110",28.1,0,7,"Female","Born outside Canada","Single, never married","Visible minority","By naturalization","College, CEGEP or other non-university certificate or di...","0.1 to 29.9 hours","Very good","Excellent","French","French only","Health occupations","1"
"2112",59.7,3,9,"Female","Born in Canada","Divorced","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","50.1 hours and more","Very good","Very good","English","English only","Natural and applied sciences and related occupations","5"
"2113",29.2,0,8,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Very good","English","English only","Occupations in education, law and social, community and ...","3"
"2114",53.6,1,10,"Male","Born in Canada","Divorced","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Natural and applied sciences and related occupations","3"
"2115",75.8,3,9,"Female","Born in Canada","Widowed","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","0.1 to 29.9 hours","Excellent","Very good","English","English only","Sales and service occupations","2"
"2116",64.3,2,3,"Female","Born in Canada","Married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Fair","Fair","English","English only","Sales and service occupations","1"
"2118",27.7,0,7,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Good","English, French and non-official language","Both English and French","Sales and service occupations","2"
"2119",23.5,0,6,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Less than high school diploma or its equivalent","30.0 to 40.0 hours","Very good","Fair","French","French only","Sales and service occupations","1"
"2120",30.7,1,7,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Excellent","Fair","English","English only","Occupations in manufacturing and utilities","2"
"2123",29.5,0,8,"Female","Born in Canada","Married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Good","Good","English","English only","Occupations in education, law and social, community and ...","1"
"2125",24.3,0,7,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Fair","Fair","English","English only","Occupations in art, culture, recreation and sport","2"
"2127",29.3,0,6,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Poor","English and French","Both English and French","Occupations in education, law and social, community and ...","3"
"2128",51.3,2,10,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Very good","French","French only","Natural and applied sciences and related occupations","3"
"2129",30.8,0,8,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Very good","French","Both English and French","Business, finance, and administration occupations","2"
"2130",23.1,0,5,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Excellent","Good","English","English only","Sales and service occupations","1"
